block,metric,patch_uid,image,texture,fold,y_true,y_pred_oof,residual
block_4,D50,1289,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0050.tif,Sableux,2,4.973136838378474,4.747020021229596,0.22611681714887855
block_4,D50,1290,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0050.tif,Sableux,2,5.00582698341551,5.392541839951267,-0.38671485653575743
block_4,D50,1291,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0050.tif,Sableux,2,3.9206499382969966,3.8367740614618637,0.08387587683513287
block_4,D50,1292,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0050.tif,Sableux,2,4.771825773391536,5.833150333895626,-1.0613245605040893
block_4,D50,1293,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0050.tif,Sableux,2,4.689450474898236,6.114617439857582,-1.4251669649593461
block_4,D50,1294,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0050.tif,Sableux,2,5.320827232796487,4.851948092006137,0.4688791407903503
block_4,D50,1295,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0050.tif,Sableux,2,4.355423280423279,4.4714077160553085,-0.1159844356320292
block_4,D50,1296,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0050.tif,Sableux,2,5.930380613362541,4.834285596517113,1.0960950168454273
block_4,D50,1298,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0050.tif,Sableux,2,5.532181623604953,6.068788015983529,-0.5366063923785758
block_4,D50,1299,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0050.tif,Sableux,2,4.227733704097489,4.840728574001955,-0.6129948699044654
block_4,D50,1300,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0050.tif,Sableux,2,5.67663273960984,5.751895254800747,-0.07526251519090721
block_4,D50,1301,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0050.tif,Sableux,2,4.299637226175527,5.318294017697095,-1.0186567915215683
block_4,D50,1302,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0050.tif,Sableux,2,4.7404554588077685,5.14075960609124,-0.40030414728347186
block_4,D50,1303,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0050.tif,Sableux,2,5.119768757069246,5.345005336476246,-0.22523657940700037
block_4,D50,1304,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0050.tif,Sableux,2,4.996406893183561,6.243815169507343,-1.2474082763237817
block_4,D50,1305,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0050.tif,Sableux,2,4.468231501140205,6.049689113742236,-1.5814576126020308
block_4,D50,1306,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0050.tif,Sableux,2,4.311873660930265,5.360682212722122,-1.0488085517918577
block_4,D50,1308,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0050.tif,Sableux,2,5.513530601922102,5.844802827339099,-0.3312722254169973
block_4,D50,1338,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0053.tif,Sableux,4,4.760465505693235,4.530755319711773,0.2297101859814621
block_4,D50,1339,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0053.tif,Sableux,4,6.275049504950495,5.861602508758677,0.41344699619181746
block_4,D50,1340,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0053.tif,Sableux,4,6.381716154118062,5.73007822378967,0.6516379303283921
block_4,D50,1341,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0053.tif,Sableux,4,4.705874335559493,4.7752218885088675,-0.06934755294937478
block_4,D50,1342,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0053.tif,Sableux,4,5.527247299382716,5.789402670978581,-0.2621553715958651
