block,metric,fold,model,r2,rmse,medae,n_estimators_used
block_6,Span,0,GBM,0.5620489601415446,0.35481766137920545,0.24236161104053888,125.0
block_6,Span,0,GBM_train,0.9449125511748182,0.1677404408799984,0.07142491343362933,125.0
block_6,Skewness,0,Ridge,0.5104095133069283,0.16183088944617907,0.10726440959984859,
block_6,Skewness,0,SVR_RBF,0.4803688420405995,0.16672185279404925,0.11209448221199042,
block_6,Skewness,0,RF_sqrt,0.2833745540786904,0.19579024435450681,0.10952572972772315,
block_6,Skewness,0,RF_third,0.3582509057944733,0.18527958448049112,0.11125186396820083,
block_6,Skewness,0,GBM,0.4122605147082349,0.17731169034892647,0.11367928158783122,157.0
block_6,Skewness,0,GBM_train,0.9333344177093894,0.07345114470921627,0.02897699899832734,157.0
block_6,sigma_local,0,Ridge,0.8177015137525308,3.10957350103223,1.826369854803879,
block_6,sigma_local,0,SVR_RBF,0.620199890379636,4.488351267645419,2.5349624220218416,
block_6,sigma_local,0,RF_sqrt,0.33562921852098093,5.936282463658539,3.3344081209808643,
block_6,sigma_local,0,RF_third,0.3818090950428853,5.72625390733631,3.2919090242297804,
block_6,sigma_local,0,GBM,0.36457801868666884,5.805510470841938,3.4115116669005268,55.0
block_6,sigma_local,0,GBM_train,0.9213536638688367,1.6670957861028797,1.1168973771116466,55.0
block_6,D50,1,Ridge,0.8324069332466196,0.9007288492233836,0.5120203947509729,
block_6,D50,1,SVR_RBF,0.7781981178273594,1.0362121074259618,0.6635920426822182,
block_6,D50,1,RF_sqrt,0.6535326067176581,1.2950818981278398,0.996464466618733,
block_6,D50,1,RF_third,0.6960627427322945,1.2129922297847673,0.8842286669647605,
block_6,D50,1,GBM,0.7704740391609629,1.0541003459807066,0.6694922216334644,229.0
block_6,D50,1,GBM_train,0.9436428466814367,0.5217943477099931,0.08811196323299164,229.0
block_6,D90,1,Ridge,0.21667694717589614,1.418071346449575,0.8771121284665124,
block_6,D90,1,SVR_RBF,0.015936628395692876,1.5894217852726251,0.8561996212499423,
block_6,D90,1,RF_sqrt,0.156067071019524,1.4719111467560866,0.9092680387875074,
block_6,D90,1,RF_third,0.1695021080816992,1.4601480575869599,0.9350637970116527,
block_6,D90,1,GBM,0.1867761450368638,1.4448830044771377,0.8282391660541215,61.0
block_6,D90,1,GBM_train,0.7541048336586771,0.7566584121810164,0.4930606005705229,61.0
block_6,Span,1,Ridge,0.8540045961907531,0.30356218218158065,0.1857340900030371,
block_6,Span,1,SVR_RBF,0.8213452634806568,0.3358035953469454,0.20205272976430866,
block_6,Span,1,RF_sqrt,0.6548165962475849,0.4667700991189544,0.3315514334755847,
block_6,Span,1,RF_third,0.714504412602966,0.42450007802398926,0.3111734594424438,
block_6,Span,1,GBM,0.7684310554336707,0.3823122663528131,0.2635486950527741,295.0
block_6,Span,1,GBM_train,0.9507221541379407,0.1555318637157145,0.018313381161259024,295.0
block_6,Skewness,1,Ridge,0.7228666047130242,0.15790689616581022,0.09441804398732498,
block_6,Skewness,1,SVR_RBF,0.6494102647891182,0.17760544002455803,0.1192107764211982,
block_6,Skewness,1,RF_sqrt,0.5214548273944265,0.20750001651084288,0.13801760985818795,
block_6,Skewness,1,RF_third,0.5646973294354787,0.19790297898695502,0.12514752873412038,
block_6,Skewness,1,GBM,0.6063497593912167,0.1881966664418434,0.12368824293116079,70.0
block_6,Skewness,1,GBM_train,0.8901655953220077,0.0950269731734504,0.054913039695463545,70.0
block_6,sigma_local,1,Ridge,0.7641294976453606,2.3100556073880654,1.6253926190273429,
block_6,sigma_local,1,SVR_RBF,0.6487135919545797,2.8191377138187503,1.5799316767659457,
block_6,sigma_local,1,RF_sqrt,0.3918169093307051,3.7093924949298582,2.2903901768171355,
block_6,sigma_local,1,RF_third,0.3888519251376952,3.718423425152029,2.308074369430078,
block_6,sigma_local,1,GBM,0.40746028070537277,3.6613761817581407,1.9135170268797301,138.0
block_6,sigma_local,1,GBM_train,0.9578568957990587,1.453492551228043,0.4424584780697405,138.0
block_6,D50,2,Ridge,0.7641376180676447,0.9187486934777452,0.601099827606344,
