patch_uid,disp,texture,image,y_true,y_pred_oof,residual,abs_residual
3270,8.039253928372286,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0106.tif,5.514979338842974,5.073167800295502,0.4418115385474728,0.4418115385474728
3271,7.765076176132955,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0106.tif,5.137893807046815,4.863040378613265,0.2748534284335502,0.2748534284335502
3272,7.6380852818322955,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0106.tif,4.402142749358685,4.891364312985799,-0.4892215636271144,0.4892215636271144
3273,7.566249988148278,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0106.tif,6.673773203455247,5.857626019717116,0.8161471837381313,0.8161471837381313
3278,7.0043645544919295,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0106.tif,5.975953118685166,5.75288683378263,0.2230662849025364,0.2230662849025364
3279,6.716607603056873,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0106.tif,3.954573585839832,4.317570569500937,-0.3629969836611049,0.3629969836611049
3280,7.298278676137707,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0106.tif,5.5317703768624025,5.162702206914634,0.3690681699477682,0.3690681699477682
3281,7.296871508684064,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0106.tif,4.979729274698632,4.967679385012729,0.0120498896859029,0.0120498896859029
3282,7.380148502030124,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0106.tif,5.980350170046606,5.915124005961209,0.0652261640853968,0.0652261640853968
3283,6.669694659735991,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0106.tif,4.369496124031008,4.470808401152982,-0.1013122771219734,0.1013122771219734
3287,7.502354169093091,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0106.tif,6.753925853974421,5.850327154551668,0.9035986994227524,0.9035986994227524
3288,8.177111904424965,Granuleux,070722-Nabila-JP-Valves-WholeMount-SAureus-pat08-20.tif,13.515926540776093,9.562038020944492,3.953888519831601,3.953888519831601
3290,8.620108704737943,Granuleux,070722-Nabila-JP-Valves-WholeMount-SAureus-pat08-20.tif,10.036405972797162,9.360990309939622,0.6754156628575405,0.6754156628575405
3292,8.149157106262892,Granuleux,070722-Nabila-JP-Valves-WholeMount-SAureus-pat08-20.tif,10.51802939825448,9.32356997334124,1.1944594249132408,1.1944594249132408
3296,7.544318103424771,Granuleux,070722-Nabila-JP-Valves-WholeMount-SAureus-pat08-20.tif,11.5375491194877,9.627693045754958,1.909856073732742,1.909856073732742
3298,8.130323137968134,Granuleux,070722-Nabila-JP-Valves-WholeMount-SAureus-pat08-20.tif,8.361631358100503,8.174906021328121,0.1867253367723815,0.1867253367723815
3305,8.270394305813923,Granuleux,070722-Nabila-JP-Valves-WholeMount-SAureus-pat08-20.tif,10.102572848650231,9.129209965278603,0.973362883371628,0.973362883371628
3306,7.783339977747733,Granuleux,070722-Nabila-JP-Valves-WholeMount-SAureus-pat08-20.tif,8.34932927672521,8.331344774921995,0.017984501803216,0.017984501803216
3308,8.880989097296583,Granuleux,070722-Nabila-JP-Valves-WholeMount-SAureus-pat08-20.tif,10.500770284149262,6.653900575292576,3.846869708856686,3.846869708856686
3319,7.8445776465388635,Granuleux,070722-Nabila-JP-Valves-WholeMount-SAureus-pat08-20.tif,9.614373601789708,8.481686421145943,1.1326871806437655,1.1326871806437655
3320,8.433354332360796,Granuleux,070722-Nabila-JP-Valves-WholeMount-SAureus-pat08-20.tif,12.20923913043478,9.651922744374948,2.557316386059832,2.557316386059832
3322,9.06537681463114,Granuleux,070722-Nabila-JP-Valves-WholeMount-SAureus-pat08-20.tif,11.12777129521587,9.256209611015633,1.8715616842002396,1.8715616842002396
3323,10.025383633847294,Granuleux,070722-Nabila-JP-Valves-WholeMount-SAureus-pat08-20.tif,12.37761140819964,11.414528383687692,0.9630830245119472,0.9630830245119472
3324,8.865545106751098,Granuleux,070722-Nabila-JP-Valves-WholeMount-SAureus-pat08-20.tif,10.433660276415516,9.355246634062755,1.0784136423527606,1.0784136423527606
3328,7.862161636756369,Granuleux,070722-Nabila-JP-Valves-WholeMount-SAureus-pat08-20.tif,7.462540439298485,7.285455430331763,0.1770850089667224,0.1770850089667224
3331,7.45469469329919,Granuleux,070722-Nabila-JP-Valves-WholeMount-SAureus-pat08-20.tif,9.65750833258265,9.30562062323494,0.3518877093477091,0.3518877093477091
3333,7.096343229000352,Granuleux,070722-Nabila-JP-Valves-WholeMount-SAureus-pat08-20.tif,10.056698165647582,9.28436642164206,0.7723317440055215,0.7723317440055215
3334,8.160124246656192,Granuleux,070722-Nabila-JP-Valves-WholeMount-SAureus-pat08-20.tif,9.059312815919125,9.183519891372011,-0.1242070754528885,0.1242070754528885
3335,7.681066647938377,Granuleux,070722-Nabila-JP-Valves-WholeMount-SAureus-pat08-20.tif,8.364007755158564,9.060895758176295,-0.6968880030177314,0.6968880030177314
3340,8.373749949625592,Granuleux,070722-Nabila-JP-Valves-WholeMount-SAureus-pat08-20.tif,10.497315569695765,8.753284636168656,1.7440309335271085,1.7440309335271085
3341,7.571369529792917,Granuleux,070722-Nabila-JP-Valves-WholeMount-SAureus-pat08-20.tif,12.416945230136283,9.881805567362033,2.53513966277425,2.53513966277425
3342,7.708943836185725,Granuleux,070722-Nabila-JP-Valves-WholeMount-SAureus-pat08-20.tif,12.106333009394234,10.140053991993378,1.966279017400856,1.966279017400856
3343,7.606544464956348,Granuleux,070722-Nabila-JP-Valves-WholeMount-SAureus-pat08-20.tif,12.961924524659784,9.70383748624576,3.258087038414024,3.258087038414024
